Image ID,Orientation,Side body area[mm2],Standard length[mm],Myotome length[mm],Myotome height[mm],Side yolk area[mm2],Eye area[mm2],Eye max diameter[mm],Eye min diameter[mm],Ventral body area[mm2],Ventral body length[mm],Ventral body width[mm],Ventral yolk area[mm],Number of lipids,Total lipid area [mm2]
LUS_0201,side,4.61991949690127,5.931059841665396,6.171328735851607,0.8388841940739358,1.0344465640145672,0.26341490128786704,0.6159234126919229,0.5447479309022164,0,0,0,0,0,0
LUS_0202,side,4.646507425087394,6.018117949870611,6.175794411680313,0.8405635239071926,1.0761493597174177,0.25803890070371754,0.6124542609344081,0.5367156117591358,0,0,0,0,0,0
LUS_0203,side,4.655835561924407,5.996451566561687,6.136608421503643,0.888222660650614,1.0610436195361488,0.254506621881874,0.6142290572287104,0.5279722051723723,0,0,0,0,0,0
LUS_0204,side,4.609788154544044,5.843247100946415,5.99842076177501,0.8799012615837281,1.075200116829894,0.257025766467995,0.6015620214597751,0.544186838324704,0,0,0,0,0,0
LUS_0205,ventral,0,0,0,0,0,0,0,0,1.8103337263341042,1.7017333317400656,1.3837405423118283,0,0,0
LUS_0206,ventral,0,0,0,0,0,0,0,0,2.3886286371649,1.7676540045074332,1.7267787397703045,0,0,0
LUS_0207,ventral,0,0,0,0,0,0,0,0,2.363901066825393,1.768440282339391,1.7082963218143978,0.8812598727135368,1,0.24922449119754583
LUS_0208,ventral,0,0,0,0,0,0,0,0,2.3956668803369885,1.8130085795717439,1.690123847719166,0.914618197843456,1,0.26622988255763375
LUS_0209,ventral,0,0,0,0,0,0,0,0,3.1409937959295804,2.342391409932188,1.7249951245629056,1.8722199011011653,1,0.46096558000045784
LUS_0212,ventral,0,0,0,0,0,0,0,0,3.068589604175729,2.4017983703520724,1.651883402256282,1.7583774982257732,1,0.46792655845791076
LUS_0213,side,4.343142176504413,5.794500898684198,5.959685763437218,0.6799932457382177,1.4719380071375763,0.20828579512782833,0.538081791447486,0.4929838654951061,0,0,0,0,0,0
LUS_0214,side,4.32873924115333,5.8297548187999455,5.9824256786474335,0.6849416343658389,1.4280172689186845,0.20245342777083086,0.5121386665028143,0.5036953128531239,0,0,0,0,0,0
LUS_0215,side,4.329442045983516,5.700934243854961,5.838588297815811,0.7074713382557051,1.431841622475151,0.19393762378948715,0.5211050281060091,0.47414611339202384,0,0,0,0,0,0
